Neighborhood,Metrics,Metrics Value
Jardim Carioca,IDH,83.6
Engenho da Rainha,IDH,83.5
Brás de Pina,IDH,83.5
São Cristóvão,IDH,83.3
 Vasco da Gama,IDH,83.3
Cascadura,IDH,83.3
Parque Anchieta,IDH,83.3
Madureira,IDH,83.1
Pilares,IDH,83.1
Tanque,IDH,83.1
Estácio,IDH,82.89999999999999
Curicica,IDH,82.8
Penha Circular,IDH,82.6
Benfica,IDH,82.5
Paquetá,IDH,82.19999999999999
Itanhangá,IDH,82.19999999999999
Tauá,IDH,81.69999999999999
Rocha Miranda,IDH,81.5
Marechal Hermes,IDH,81.39999999999999
Turiaçu,IDH,81.2
Guadalupe,IDH,81.0
Inhaúma,IDH,81.0
Campo Grande,IDH,81.0
Cavalcanti,IDH,80.7
 Engenheiro Leal,IDH,80.7
 Vaz Lobo,IDH,80.7
Ricardo de Albuquerque,IDH,80.7
Coelho Neto,IDH,80.60000000000001
Padre Miguel,IDH,80.4
Penha,IDH,80.4
Honório Gurgel,IDH,80.4
Realengo,IDH,80.30000000000001
Senador Vasconcelos,IDH,80.2
Tomás Coelho,IDH,80.2
Magalhães Bastos,IDH,80.2
Catumbi,IDH,80.2
Jamelão,IDH,80.0
 São Francisco Xavier,IDH,80.0
Vista Alegre,IDH,79.80000000000001
 Irajá,IDH,79.80000000000001
Bangu,IDH,79.4
Saúde,IDH,79.2
 Gamboa,IDH,79.2
 Santo Cristo,IDH,79.2
Cordovil,IDH,79.10000000000001
Pavuna,IDH,79.0
Anchieta,IDH,78.8
Santíssimo,IDH,78.0
Galeão,IDH,77.8
 Cidade Universitária,IDH,77.8
Vicente de Carvalho,IDH,77.3
Jacarepaguá,IDH,76.9
Senador Camará,IDH,76.8
Gardênia Azul,IDH,76.8
Vigário Geral,IDH,76.3
Colégio,IDH,76.2
Sepetiba,IDH,76.1
Cosmos,IDH,75.9
Caju,IDH,75.3
Paciência,IDH,75.1
Cidade de Deus,IDH,75.1
Barros Filho,IDH,75.0
Inhoaíba,IDH,74.7
Camorim,IDH,74.6
 Vargem Pequena,IDH,74.6
 Vargem Grande,IDH,74.6
Parada de Lucas,IDH,74.5
Guaratiba,IDH,74.4
 Barra de Guaratiba,IDH,74.4
 Pedra de Guaratiba,IDH,74.4
Santa Cruz,IDH,74.2
Rocinha,IDH,73.2
Jacarezinho,IDH,73.1
Manguinhos,IDH,72.6
Maré,IDH,72.2
Acari,IDH,72.0
 Parque Colúmbia,IDH,72.0
Costa Barros,IDH,71.3
Complexo do Alemão,IDH,70.0
